Strain (%),Stress (MPa),Time (sec)
0.0387,0.5435,
0.0996,0.5807,
0.1438,0.6105,
0.205,0.6403,
0.249,0.6701,
0.304,0.7073,
0.354,0.7371,
0.409,0.7669,
0.47,0.8041,
0.509,0.8339,
0.57,0.8711,
0.614,0.8935,1
0.669,0.9307,1
0.719,0.9605,1
0.774,0.9902,1
0.819,1.02,1
0.879,1.0573,1
0.924,1.0796,1
0.979,1.1168,1
1.029,1.1392,1
1.084,1.1764,1
1.128,1.1987,1
1.189,1.2359,1
1.244,1.2657,1
1.289,1.2881,1
1.344,1.3253,1
1.394,1.3476,1
1.449,1.3774,1
1.493,1.3997,1
1.554,1.437,1
1.598,1.4593,1
1.659,1.4891,1
1.709,1.5114,2
1.753,1.5412,2
1.814,1.571,2
1.858,1.5933,2
1.914,1.6231,2
1.963,1.6454,2
2.02,1.6678,2
2.06,1.6901,2
2.12,1.7199,2
2.17,1.7497,2
2.22,1.772,2
2.28,1.7944,2
2.32,1.8167,2
2.38,1.8465,2
2.43,1.8614,2
2.49,1.8911,2
2.53,1.9135,2
2.59,1.9433,2
2.63,1.9582,2
2.69,1.9879,2
2.74,2.01,2
2.8,2.033,2
2.84,2.055,3
2.9,2.085,3
2.95,2.107,3
3,2.122,3
3.06,2.144,3
3.1,2.167,3
3.16,2.196,3
3.2,2.211,3
3.26,2.234,3
3.31,2.256,3
3.37,2.278,3
3.41,2.293,3
3.47,2.316,3
3.52,2.33,3
3.57,2.353,3
3.63,2.375,3
3.67,2.397,3
3.73,2.42,3
3.78,2.435,3
3.83,2.457,3
3.88,2.479,3
3.94,2.494,4
3.98,2.509,4
4.04,2.531,4
4.09,2.546,4
4.14,2.569,4
4.19,2.584,4
4.25,2.606,4
4.29,2.621,4
4.35,2.636,4
4.4,2.658,4
4.46,2.673,4
4.51,2.695,4
4.56,2.71,4
4.61,2.725,4
4.66,2.74,4
4.72,2.762,4
4.77,2.777,4
4.82,2.792,4
4.87,2.814,4
4.92,2.822,4
4.98,2.844,4
5.02,2.859,5
5.08,2.874,5
5.13,2.889,5
5.18,2.904,5
5.23,2.919,5
