Strain (%),Stress (MPa),Time (sec)
0.0415,0.5461,
0.0717,0.5579,
0.1132,0.5817,
0.1434,0.5935,
0.1849,0.6173,
0.219,0.641,
0.253,0.6648,
0.291,0.6766,
0.325,0.7004,
0.358,0.7241,
0.396,0.7479,
0.426,0.7597,1
0.464,0.7835,1
0.498,0.7953,1
0.536,0.8191,1
0.57,0.8428,1
0.608,0.8547,1
0.638,0.8784,1
0.679,0.8903,1
0.709,0.9141,1
0.747,0.9259,1
0.785,0.9497,1
0.819,0.9615,1
0.857,0.9853,1
0.887,0.9972,1
0.928,1.0209,1
0.958,1.0328,1
0.996,1.0565,1
1.026,1.0684,1
1.068,1.0921,1
1.098,1.104,1
1.14,1.1277,1
1.166,1.1396,2
1.208,1.1633,2
1.245,1.1752,2
1.275,1.199,2
1.317,1.2108,2
1.347,1.2227,2
1.389,1.2346,2
1.415,1.2583,2
1.457,1.2702,2
1.487,1.2821,2
1.528,1.3058,2
1.558,1.3177,2
1.6,1.3295,2
1.63,1.3414,2
1.668,1.3651,2
1.706,1.377,2
1.736,1.4008,2
1.777,1.4126,2
1.808,1.4245,2
1.845,1.4364,2
1.875,1.4601,2
1.917,1.472,2
1.947,1.4839,3
1.985,1.5076,3
2.02,1.5195,3
2.06,1.5313,3
2.09,1.5432,3
2.13,1.567,3
2.17,1.5788,3
2.2,1.5907,3
2.23,1.6144,3
2.27,1.6263,3
2.31,1.6382,3
2.34,1.65,3
2.38,1.6619,3
2.41,1.6738,3
2.45,1.6857,3
2.48,1.6975,3
2.52,1.7094,3
2.55,1.7213,3
2.59,1.7331,3
2.63,1.7569,3
2.66,1.7688,3
2.69,1.7806,4
2.73,1.7925,4
2.77,1.8044,4
2.8,1.8162,4
2.84,1.8281,4
2.87,1.84,4
2.91,1.8519,4
2.94,1.8637,4
2.98,1.8756,4
3.02,1.8875,4
3.05,1.8993,4
3.08,1.9112,4
3.12,1.9349,4
3.15,1.9468,4
3.18,1.9587,4
3.23,1.9706,4
3.26,1.9824,4
3.3,1.9824,4
3.32,1.9943,4
3.37,2.006,4
3.4,2.018,4
3.44,2.03,5
3.48,2.042,5
3.51,2.054,5
3.54,2.066,5
3.57,2.077,5
3.62,2.089,5
3.65,2.101,5
3.69,2.113,5
3.72,2.125,5
3.75,2.137,5
3.79,2.149,5
3.82,2.149,5
3.86,2.16,5
3.89,2.172,5
3.93,2.184,5
3.96,2.196,5
4,2.208,5
4.03,2.22,5
4.08,2.232,5
4.11,2.244,5
4.14,2.255,5
4.18,2.267,5
4.22,2.279,6
4.25,2.279,6
4.29,2.291,6
4.32,2.303,6
4.35,2.315,6
4.39,2.327,6
4.42,2.327,6
4.46,2.339,6
4.5,2.35,6
4.53,2.362,6
4.57,2.374,6
4.6,2.386,6
4.64,2.398,6
4.67,2.398,6
4.71,2.41,6
4.75,2.422,6
4.78,2.422,6
4.82,2.445,6
4.85,2.445,6
4.89,2.457,6
4.92,2.457,6
4.96,2.469,7
4.99,2.481,7
5.03,2.493,7
5.06,2.505,7
5.1,2.517,7
5.13,2.517,7
5.17,2.528,7
5.21,2.54,7
5.24,2.54,7
5.28,2.552,7
5.31,2.552,7
5.35,2.564,7
5.38,2.576,7
5.42,2.576,7
5.45,2.588,7
5.49,2.6,7
5.53,2.6,7
5.55,2.612,7
5.6,2.623,7
5.63,2.623,7
5.66,2.635,7
5.7,2.647,8
5.74,2.647,8
5.77,2.659,8
5.81,2.671,8
5.84,2.671,8
5.88,2.683,8
5.92,2.695,8
5.95,2.695,8
5.98,2.707,8
6.02,2.718,8
6.06,2.718,8
6.09,2.73,8
6.13,2.73,8
6.16,2.742,8
6.2,2.742,8
6.23,2.754,8
6.27,2.754,8
6.3,2.766,8
6.34,2.778,8
6.37,2.79,8
6.41,2.79,8
6.45,2.802,8
6.48,2.802,9
6.52,2.802,9
6.55,2.813,9
6.59,2.825,9
6.62,2.825,9
6.66,2.837,9
6.69,2.849,9
6.73,2.849,9
6.76,2.849,9
6.8,2.861,9
6.84,2.873,9
6.87,2.885,9
6.91,2.885,9
6.94,2.896,9
6.97,2.896,9
7.01,2.896,9
7.04,2.908,9
7.08,2.908,9
7.11,2.92,9
7.15,2.932,9
7.18,2.932,9
7.22,2.932,10
7.26,2.944,10
7.29,2.944,10
7.33,2.956,10
7.36,2.956,10
7.4,2.968,10
7.43,2.968,10
7.47,2.98,10
7.5,2.991,10
7.54,2.991,10
7.57,3.003,10
7.61,3.015,10
7.64,3.015,10
7.68,3.027,10
7.71,3.027,10
7.75,3.039,10
7.79,3.039,10
7.82,3.051,10
7.86,3.051,10
7.89,3.051,10
7.93,3.063,10
7.96,3.063,11
8,3.075,11
8.03,3.086,11
8.07,3.086,11
8.1,3.098,11
8.14,3.098,11
8.17,3.11,11
8.21,3.11,11
8.25,3.122,11
8.28,3.122,11
8.31,3.122,11
8.35,3.134,11
8.39,3.134,11
8.42,3.146,11
8.46,3.146,11
8.49,3.146,11
8.53,3.158,11
8.56,3.158,11
8.6,3.158,11
8.63,3.17,11
8.68,3.17,11
8.71,3.181,11
8.74,3.181,12
8.77,3.193,12
8.82,3.193,12
8.85,3.193,12
8.89,3.205,12
8.92,3.205,12
8.95,3.205,12
8.99,3.217,12
9.02,3.217,12
9.06,3.229,12
9.09,3.229,12
9.14,3.229,12
9.17,3.241,12
9.2,3.241,12
9.24,3.241,12
9.27,3.253,12
9.31,3.253,12
9.35,3.253,12
9.38,3.264,12
9.42,3.264,12
9.45,3.264,12
9.49,3.276,13
9.52,3.276,13
9.56,3.276,13
9.59,3.276,13
9.63,3.288,13
9.66,3.288,13
9.7,3.3,13
9.73,3.3,13
9.77,3.312,13
9.8,3.312,13
9.84,3.312,13
9.87,3.324,13
9.91,3.324,13
9.95,3.336,13
9.98,3.336,13
10.02,3.336,13
10.05,3.348,13
10.09,3.348,13
10.12,3.348,13
10.16,3.359,13
10.19,3.359,13
10.23,3.359,14
10.26,3.371,14
10.3,3.371,14
10.33,3.383,14
10.37,3.383,14
10.4,3.383,14
10.44,3.395,14
10.48,3.395,14
10.51,3.395,14
10.55,3.407,14
10.58,3.407,14
10.62,3.407,14
10.65,3.419,14
10.69,3.419,14
10.73,3.419,14
10.76,3.419,14
10.8,3.419,14
10.83,3.431,14
10.87,3.431,14
10.9,3.431,14
10.94,3.431,14
10.97,3.431,14
11.01,3.443,15
11.04,3.443,15
11.08,3.454,15
11.11,3.454,15
11.15,3.454,15
11.18,3.466,15
11.22,3.466,15
11.25,3.466,15
11.29,3.478,15
11.33,3.478,15
11.36,3.478,15
11.4,3.478,15
11.43,3.49,15
11.47,3.49,15
11.51,3.49,15
11.54,3.49,15
11.57,3.49,15
11.61,3.502,15
11.65,3.502,15
11.68,3.502,15
11.72,3.502,15
11.75,3.514,16
11.79,3.514,16
11.82,3.514,16
11.86,3.526,16
11.89,3.526,16
11.93,3.526,16
11.96,3.526,16
12,3.526,16
12.03,3.538,16
12.07,3.538,16
12.11,3.538,16
12.14,3.538,16
12.18,3.549,16
12.21,3.549,16
12.25,3.549,16
12.28,3.549,16
12.32,3.561,16
12.35,3.561,16
12.38,3.561,16
12.43,3.561,16
12.45,3.573,16
12.49,3.573,17
12.52,3.573,17
12.57,3.573,17
12.6,3.573,17
12.63,3.585,17
12.66,3.585,17
12.71,3.585,17
12.74,3.597,17
12.78,3.597,17
12.82,3.597,17
12.85,3.597,17
12.89,3.597,17
12.91,3.597,17
12.95,3.609,17
12.98,3.609,17
13.03,3.609,17
13.06,3.621,17
13.09,3.621,17
13.13,3.621,17
13.16,3.621,17
13.2,3.621,17
13.23,3.621,17
13.27,3.621,18
13.3,3.632,18
13.34,3.632,18
13.37,3.632,18
13.42,3.632,18
13.45,3.632,18
13.48,3.644,18
13.52,3.644,18
13.55,3.644,18
13.59,3.644,18
13.62,3.656,18
13.66,3.656,18
13.69,3.656,18
13.73,3.656,18
13.77,3.656,18
13.8,3.656,18
13.84,3.668,18
13.87,3.668,18
13.91,3.668,18
13.94,3.668,18
13.98,3.68,18
14.01,3.68,19
14.05,3.68,19
14.08,3.68,19
14.12,3.692,19
14.15,3.692,19
14.19,3.692,19
14.22,3.692,19
14.26,3.692,19
14.29,3.692,19
14.33,3.692,19
14.36,3.704,19
14.4,3.704,19
14.44,3.704,19
14.47,3.704,19
14.51,3.704,19
14.54,3.716,19
14.58,3.716,19
14.62,3.716,19
14.64,3.716,19
14.69,3.716,19
14.72,3.716,19
14.76,3.716,20
14.79,3.727,20
14.83,3.727,20
14.86,3.727,20
14.9,3.727,20
14.93,3.727,20
14.97,3.727,20
15,3.727,20
15.04,3.739,20
15.07,3.739,20
15.11,3.739,20
15.15,3.739,20
15.18,3.739,20
15.22,3.751,20
15.25,3.751,20
15.29,3.751,20
15.32,3.751,20
15.36,3.751,20
15.4,3.751,20
15.43,3.763,20
15.47,3.763,20
15.5,3.763,20
15.54,3.763,21
15.57,3.763,21
15.61,3.763,21
15.64,3.775,21
15.68,3.775,21
15.71,3.775,21
15.75,3.775,21
15.78,3.775,21
15.82,3.775,21
15.85,3.775,21
15.89,3.775,21
15.93,3.787,21
15.96,3.787,21
16,3.787,21
16.03,3.787,21
16.07,3.787,21
16.1,3.787,21
16.14,3.799,21
16.18,3.787,21
16.21,3.799,21
16.25,3.799,21
16.28,3.799,22
16.32,3.799,22
16.35,3.799,22
16.38,3.811,22
16.42,3.811,22
16.45,3.811,22
16.49,3.811,22
16.52,3.811,22
16.56,3.822,22
16.59,3.822,22
16.63,3.822,22
16.66,3.822,22
16.7,3.822,22
16.73,3.822,22
16.77,3.822,22
16.8,3.822,22
16.85,3.834,22
16.88,3.834,22
16.92,3.834,22
16.95,3.834,22
16.98,3.834,22
17.02,3.834,23
17.05,3.834,23
17.09,3.834,23
17.12,3.834,23
17.16,3.846,23
17.2,3.846,23
17.23,3.846,23
17.27,3.846,23
17.3,3.858,23
17.34,3.846,23
17.37,3.846,23
17.41,3.846,23
17.44,3.846,23
17.48,3.858,23
17.51,3.858,23
17.55,3.858,23
17.58,3.858,23
17.62,3.858,23
17.65,3.858,23
17.69,3.858,23
17.73,3.858,23
17.76,3.87,23
17.8,3.87,24
17.83,3.858,24
17.87,3.87,24
17.9,3.87,24
17.94,3.87,24
17.97,3.87,24
