Strain (%),Stress (MPa),Time (sec)
0.0443,0.5175,
0.0923,0.5309,
0.1365,0.5444,
0.1845,0.5578,
0.229,0.5712,
0.277,0.578,
0.321,0.5914,
0.369,0.6048,
0.413,0.6183,1
0.458,0.6317,1
0.506,0.6452,1
0.554,0.6519,1
0.598,0.6653,1
0.646,0.6788,1
0.69,0.6855,1
0.738,0.6989,1
0.782,0.7124,1
0.827,0.7258,1
0.875,0.7325,1
0.923,0.746,1
0.967,0.7594,1
1.011,0.7728,1
1.059,0.7796,1
1.107,0.793,1
1.151,0.8065,2
1.199,0.8199,2
1.244,0.8266,2
1.292,0.8401,2
1.336,0.8535,2
1.384,0.8602,2
1.428,0.8737,2
1.476,0.8804,2
1.52,0.8938,2
1.568,0.9073,2
1.613,0.9207,2
1.661,0.9274,2
1.705,0.9409,2
1.753,0.9543,2
1.797,0.9677,2
1.841,0.9745,2
1.889,0.9812,3
1.937,0.9946,3
1.982,1.0081,3
2.03,1.0215,3
2.08,1.0282,3
2.12,1.0349,3
2.17,1.0484,3
2.21,1.0551,3
2.26,1.0685,3
2.31,1.082,3
2.35,1.0887,3
2.39,1.1022,3
2.44,1.1089,3
2.49,1.1223,3
2.54,1.1358,3
2.58,1.1425,3
2.63,1.1559,4
2.68,1.1626,4
2.72,1.1761,4
2.77,1.1895,4
2.81,1.1962,4
2.86,1.203,4
2.9,1.2164,4
2.95,1.2231,4
3,1.2366,4
3.04,1.2433,4
3.09,1.2567,4
3.14,1.2634,4
3.18,1.2769,4
3.23,1.2836,4
3.27,1.297,4
3.32,1.3038,4
3.37,1.3105,5
3.41,1.3239,5
3.46,1.3306,5
3.5,1.3441,5
3.55,1.3508,5
3.59,1.3642,5
3.64,1.371,5
3.69,1.3844,5
3.73,1.3911,5
3.78,1.4046,5
3.83,1.4113,5
3.87,1.4247,5
3.92,1.4315,5
3.97,1.4382,5
4.01,1.4516,5
4.06,1.4651,5
4.1,1.4718,6
4.15,1.4785,6
4.2,1.4852,6
4.24,1.4987,6
4.29,1.5054,6
4.34,1.5188,6
4.38,1.5255,6
4.43,1.5323,6
4.47,1.539,6
4.52,1.5524,6
4.56,1.5659,6
4.61,1.5726,6
4.66,1.5793,6
4.7,1.586,6
4.75,1.5927,6
4.8,1.6062,6
4.84,1.6129,7
4.89,1.6196,7
4.93,1.6331,7
4.98,1.6331,7
5.03,1.6465,7
5.07,1.6532,7
5.12,1.6599,7
5.17,1.6734,7
5.21,1.6801,7
5.26,1.6935,7
5.3,1.7003,7
5.35,1.707,7
5.39,1.7137,7
5.44,1.7272,7
5.49,1.7339,7
5.54,1.7406,7
5.58,1.7473,8
5.63,1.754,8
5.67,1.7608,8
5.72,1.7742,8
5.76,1.7809,8
5.81,1.7876,8
5.86,1.8011,8
5.9,1.8078,8
5.95,1.8145,8
5.99,1.8212,8
6.04,1.8347,8
6.09,1.8414,8
6.13,1.8481,8
6.18,1.8548,8
6.23,1.8683,8
6.27,1.8683,8
6.32,1.875,9
6.36,1.8884,9
6.41,1.8952,9
6.46,1.9019,9
6.5,1.9086,9
6.55,1.9153,9
6.59,1.922,9
6.64,1.9288,9
6.69,1.9355,9
6.73,1.9422,9
6.78,1.9489,9
6.83,1.9556,9
6.87,1.9624,9
6.92,1.9758,9
6.96,1.9825,9
7.01,1.9892,9
7.06,1.996,10
7.1,2.003,10
7.15,2.009,10
7.2,2.016,10
7.24,2.03,10
7.28,2.03,10
7.33,2.036,10
7.38,2.043,10
7.42,2.056,10
7.47,2.056,10
7.52,2.07,10
7.56,2.077,10
7.61,2.083,10
7.66,2.09,10
7.7,2.097,10
7.75,2.103,10
7.79,2.11,11
7.84,2.117,11
7.89,2.117,11
7.93,2.124,11
7.98,2.13,11
8.03,2.137,11
8.07,2.151,11
8.12,2.157,11
8.16,2.164,11
8.21,2.164,11
8.25,2.171,11
8.3,2.177,11
8.35,2.184,11
8.39,2.191,11
8.44,2.204,11
8.48,2.204,11
8.53,2.218,12
8.58,2.224,12
8.62,2.231,12
8.67,2.231,12
8.72,2.238,12
8.76,2.245,12
8.81,2.258,12
8.86,2.265,12
8.9,2.272,12
8.95,2.272,12
8.99,2.278,12
9.04,2.285,12
9.08,2.292,12
9.13,2.292,12
9.18,2.298,12
9.22,2.305,12
9.27,2.312,13
9.32,2.319,13
9.36,2.325,13
9.41,2.332,13
9.45,2.332,13
9.5,2.339,13
9.55,2.345,13
9.59,2.352,13
9.64,2.359,13
9.69,2.366,13
9.73,2.372,13
9.77,2.372,13
9.82,2.379,13
9.87,2.386,13
9.92,2.386,13
9.96,2.392,13
10.01,2.399,14
10.06,2.406,14
10.1,2.413,14
10.15,2.419,14
10.19,2.426,14
10.24,2.433,14
10.28,2.433,14
10.33,2.44,14
10.38,2.446,14
10.42,2.453,14
10.47,2.46,14
10.51,2.466,14
10.56,2.466,14
10.61,2.473,14
10.65,2.48,14
10.7,2.48,14
10.75,2.487,15
10.79,2.493,15
10.84,2.493,15
10.89,2.5,15
10.93,2.507,15
10.98,2.513,15
11.02,2.52,15
11.07,2.527,15
11.11,2.527,15
11.16,2.527,15
11.21,2.534,15
11.25,2.54,15
11.3,2.547,15
11.35,2.547,15
11.39,2.554,15
11.44,2.56,15
11.48,2.56,16
11.53,2.567,16
11.58,2.574,16
11.62,2.581,16
11.67,2.581,16
11.72,2.587,16
