Strain (%),Stress (MPa),Time (sec)
0.0478,0.5,
0.0956,0.5111,
0.1474,0.5222,
0.1952,0.5222,
0.247,0.5333,
0.295,0.5444,
0.347,0.5556,
0.394,0.5556,
0.446,0.5667,1
0.494,0.5667,1
0.546,0.5778,1
0.594,0.5889,1
0.645,0.5889,1
0.693,0.6,1
0.745,0.6111,1
0.797,0.6222,1
0.845,0.6333,1
0.892,0.6333,1
0.944,0.6444,1
0.996,0.6444,1
1.044,0.6444,1
1.092,0.6556,1
1.143,0.6667,1
1.195,0.6667,1
1.243,0.6778,2
1.291,0.6889,2
1.343,0.6889,2
1.394,0.7,2
1.442,0.7,2
1.49,0.7111,2
1.542,0.7222,2
1.594,0.7222,2
1.641,0.7333,2
1.689,0.7333,2
1.741,0.7444,2
1.793,0.7556,2
1.841,0.7667,2
1.888,0.7778,2
1.94,0.7778,2
1.988,0.7778,2
2.04,0.7889,3
2.09,0.8,3
2.14,0.8111,3
2.19,0.8111,3
2.24,0.8222,3
2.29,0.8222,3
2.34,0.8333,3
2.39,0.8333,3
2.44,0.8444,3
2.49,0.8556,3
2.54,0.8556,3
2.59,0.8667,3
2.64,0.8778,3
2.69,0.8889,3
2.74,0.8889,3
2.79,0.9,3
2.84,0.9,4
2.89,0.9111,4
2.94,0.9111,4
2.99,0.9222,4
3.04,0.9333,4
3.09,0.9333,4
3.14,0.9444,4
3.18,0.9556,4
3.24,0.9556,4
3.29,0.9667,4
3.33,0.9778,4
3.38,0.9778,4
3.43,0.9889,4
3.49,0.9889,4
3.54,1,4
3.58,1,4
3.63,1.0111,5
3.68,1.0222,5
3.73,1.0222,5
3.78,1.0333,5
3.83,1.0333,5
3.88,1.0444,5
3.93,1.0556,5
3.98,1.0556,5
4.03,1.0667,5
4.08,1.0778,5
4.13,1.0778,5
4.18,1.0889,5
4.23,1.0889,5
4.28,1.0889,5
4.33,1.1,5
4.39,1.1111,5
4.43,1.1111,6
4.48,1.1111,6
4.53,1.1222,6
4.58,1.1333,6
4.63,1.1333,6
4.68,1.1444,6
4.73,1.1444,6
4.78,1.1556,6
4.83,1.1667,6
4.88,1.1667,6
4.93,1.1778,6
4.98,1.1778,6
5.03,1.1889,6
5.08,1.1889,6
5.13,1.2,6
5.18,1.2,6
5.24,1.2111,7
5.28,1.2222,7
5.33,1.2222,7
5.38,1.2333,7
5.43,1.2333,7
5.48,1.2444,7
5.53,1.2556,7
5.57,1.2556,7
5.63,1.2556,7
5.67,1.2667,7
5.73,1.2667,7
5.77,1.2778,7
5.82,1.2889,7
5.87,1.2889,7
5.92,1.3,7
5.97,1.3,7
6.02,1.3111,8
6.07,1.3222,8
6.12,1.3222,8
6.18,1.3333,8
6.22,1.3333,8
6.27,1.3444,8
6.32,1.3444,8
6.37,1.3556,8
6.42,1.3667,8
6.47,1.3667,8
6.52,1.3667,8
6.57,1.3778,8
6.62,1.3889,8
6.67,1.3889,8
6.72,1.4,8
6.77,1.4,8
6.82,1.4111,9
6.87,1.4111,9
6.92,1.4111,9
6.98,1.4222,9
7.02,1.4222,9
7.07,1.4333,9
7.12,1.4333,9
7.17,1.4444,9
7.22,1.4556,9
7.27,1.4556,9
7.32,1.4667,9
7.37,1.4667,9
7.42,1.4667,9
7.47,1.4778,9
7.52,1.4778,9
7.57,1.4889,9
7.62,1.5,10
7.67,1.5,10
7.72,1.5,10
7.77,1.5111,10
7.82,1.5111,10
7.86,1.5222,10
7.92,1.5222,10
7.97,1.5333,10
8.02,1.5333,10
8.06,1.5444,10
8.12,1.5444,10
8.17,1.5444,10
8.22,1.5556,10
8.26,1.5556,10
8.31,1.5667,10
8.37,1.5667,10
8.41,1.5778,11
8.46,1.5778,11
8.51,1.5889,11
8.57,1.6,11
8.61,1.6,11
8.67,1.6,11
8.71,1.6111,11
8.76,1.6111,11
8.81,1.6222,11
8.86,1.6222,11
8.91,1.6222,11
8.96,1.6333,11
9.01,1.6333,11
9.06,1.6444,11
9.11,1.6444,11
9.16,1.6556,11
9.21,1.6556,12
9.26,1.6667,12
9.31,1.6667,12
9.36,1.6667,12
9.41,1.6778,12
9.46,1.6889,12
9.51,1.6889,12
9.56,1.6889,12
9.61,1.7,12
9.66,1.7,12
9.71,1.7111,12
9.76,1.7111,12
9.81,1.7111,12
9.86,1.7222,12
9.91,1.7222,12
9.96,1.7333,12
10.01,1.7333,13
10.06,1.7444,13
10.11,1.7444,13
10.16,1.7444,13
10.21,1.7556,13
10.25,1.7556,13
10.31,1.7667,13
10.35,1.7667,13
10.41,1.7778,13
10.46,1.7778,13
10.51,1.7778,13
10.56,1.7889,13
10.61,1.7889,13
10.66,1.7889,13
10.71,1.8,13
10.75,1.8,13
10.81,1.8111,14
10.86,1.8111,14
10.91,1.8111,14
10.95,1.8222,14
11,1.8222,14
11.06,1.8222,14
11.1,1.8222,14
11.15,1.8333,14
11.2,1.8333,14
11.25,1.8444,14
11.3,1.8444,14
11.35,1.8444,14
11.4,1.8556,14
11.45,1.8556,14
11.5,1.8667,14
11.55,1.8667,14
11.6,1.8667,15
11.65,1.8778,15
11.7,1.8778,15
11.75,1.8889,15
11.8,1.8889,15
11.85,1.8889,15
11.9,1.9,15
11.95,1.9,15
12,1.9,15
12.06,1.9111,15
12.1,1.9111,15
12.15,1.9111,15
12.2,1.9222,15
12.25,1.9222,15
12.3,1.9222,15
12.35,1.9333,15
12.4,1.9333,16
12.45,1.9333,16
12.5,1.9444,16
12.55,1.9444,16
12.6,1.9444,16
12.65,1.9556,16
12.7,1.9556,16
12.75,1.9556,16
12.8,1.9667,16
12.85,1.9667,16
12.9,1.9778,16
12.94,1.9778,16
13,1.9778,16
13.04,1.9778,16
13.09,1.9889,16
13.14,1.9889,16
13.2,1.9889,17
13.24,2,17
13.3,2,17
13.34,2,17
13.39,2.011,17
13.44,2.011,17
13.49,2.011,17
13.55,2.022,17
13.59,2.022,17
13.64,2.022,17
13.69,2.033,17
13.75,2.033,17
13.79,2.044,17
13.84,2.044,17
13.89,2.056,17
13.94,2.056,17
13.99,2.056,18
14.04,2.056,18
14.09,2.067,18
14.14,2.067,18
14.19,2.067,18
14.24,2.078,18
14.29,2.078,18
14.34,2.078,18
14.39,2.078,18
14.44,2.089,18
14.49,2.089,18
14.54,2.1,18
14.59,2.1,18
14.64,2.1,18
14.69,2.1,18
14.74,2.111,18
14.79,2.111,19
14.84,2.111,19
14.89,2.111,19
14.94,2.122,19
14.99,2.122,19
15.04,2.122,19
15.09,2.133,19
15.14,2.133,19
15.19,2.133,19
15.24,2.133,19
15.29,2.144,19
15.34,2.144,19
15.39,2.156,19
15.43,2.156,19
15.49,2.156,19
15.54,2.156,19
15.59,2.167,20
15.63,2.167,20
15.69,2.167,20
15.74,2.167,20
15.78,2.178,20
15.83,2.178,20
15.88,2.178,20
15.94,2.189,20
15.98,2.189,20
16.03,2.189,20
16.08,2.189,20
16.14,2.2,20
16.18,2.2,20
16.23,2.2,20
16.28,2.211,20
16.33,2.211,20
16.38,2.211,21
16.43,2.211,21
16.48,2.211,21
16.53,2.222,21
16.58,2.222,21
16.63,2.222,21
16.68,2.233,21
16.73,2.233,21
16.78,2.233,21
16.83,2.233,21
16.88,2.244,21
16.93,2.244,21
16.98,2.244,21
17.03,2.256,21
17.08,2.256,21
17.13,2.256,21
17.18,2.256,22
17.23,2.256,22
17.28,2.256,22
17.33,2.267,22
17.38,2.267,22
17.43,2.267,22
17.48,2.278,22
17.53,2.278,22
17.58,2.278,22
17.63,2.278,22
17.68,2.278,22
17.73,2.278,22
17.78,2.289,22
17.83,2.289,22
17.88,2.289,22
17.92,2.3,22
17.98,2.3,23
18.03,2.3,23
18.08,2.311,23
18.13,2.311,23
18.18,2.311,23
18.23,2.311,23
18.27,2.311,23
18.32,2.322,23
18.37,2.322,23
18.43,2.322,23
18.47,2.322,23
18.52,2.333,23
18.57,2.333,23
18.63,2.333,23
18.67,2.333,23
18.72,2.344,23
18.77,2.344,24
18.82,2.344,24
18.87,2.344,24
18.92,2.344,24
18.97,2.344,24
19.02,2.356,24
19.07,2.356,24
19.12,2.356,24
19.17,2.356,24
19.22,2.367,24
19.27,2.367,24
19.32,2.367,24
19.37,2.367,24
19.42,2.367,24
19.47,2.367,24
19.52,2.378,24
19.57,2.378,25
19.62,2.389,25
19.67,2.389,25
19.72,2.389,25
19.77,2.389,25
19.82,2.389,25
19.87,2.389,25
19.92,2.4,25
19.97,2.4,25
20,2.4,25
20.1,2.4,25
20.1,2.411,25
20.2,2.411,25
20.2,2.411,25
20.3,2.411,25
20.3,2.411,25
20.4,2.422,26
20.4,2.422,26
20.5,2.422,26
20.5,2.422,26
20.6,2.422,26
20.6,2.433,26
20.7,2.433,26
20.7,2.433,26
20.8,2.433,26
20.8,2.433,26
20.9,2.444,26
20.9,2.444,26
21,2.444,26
21,2.444,26
21.1,2.444,26
21.1,2.444,26
21.2,2.456,27
