qq,RPI-XN-HDPE-Q i,HDPE-128,RPI-XN-HDPE-128,RPI-XN-HDPE-130,,q (A^-1),RPI-XN-4-71 in Co,RPI-XN-4-73-1280C,RPI-XN-4-73-1285C,RPI-XN-4-73-1290C,RPI-XN-4-73-1295C,RPI-XN-4-73-1300C,RPI-XN-4-73-1305C
3.70E-03,6.72E+01,2.49E+02,3.97E+02,6.98E+02,,3.70E-03,1.07E+04,15400,19000,19600,16900,8240,16600
4.19E-03,5.77E+01,1.83E+02,2.64E+02,4.90E+02,,4.19E-03,7.38E+03,11400,14000,14500,12600,6330,12300
4.68E-03,4.49E+01,1.40E+02,2.01E+02,3.38E+02,,4.68E-03,4.99E+03,8460,10100,10500,9260,4650,9110
5.17E-03,4.24E+01,1.22E+02,1.58E+02,2.68E+02,,5.17E-03,3.62E+03,6440,7600,8080,7200,3530,6930
5.66E-03,3.53E+01,1.03E+02,1.36E+02,2.19E+02,,5.66E-03,2.70E+03,5100,5860,6220,5630,2730,5450
6.15E-03,3.17E+01,1.03E+02,1.27E+02,2.04E+02,,6.15E-03,2.08E+03,4040,4570,4840,4460,2160,4340
6.64E-03,2.78E+01,9.65E+01,1.24E+02,1.89E+02,,6.64E-03,1.64E+03,3210,3610,3800,3570,1690,3390
7.14E-03,2.49E+01,9.76E+01,1.21E+02,1.89E+02,,7.14E-03,1.34E+03,2620,2900,3090,2930,1380,2820
7.63E-03,2.26E+01,9.80E+01,1.20E+02,1.88E+02,,7.63E-03,1.08E+03,2220,2400,2580,2470,1170,2390
8.12E-03,2.20E+01,1.00E+02,1.24E+02,1.93E+02,,8.12E-03,9.16E+02,1860,2010,2160,2090,966,2010
8.61E-03,2.19E+01,1.03E+02,1.28E+02,2.06E+02,,8.61E-03,7.83E+02,1610,1740,1860,1830,838,1790
8.91E-03,2.09E+01,1.04E+02,1.34E+02,2.17E+02,,8.91E-03,7.06E+02,1500,1590,1710,1670,774,1650
9.60E-03,2.13E+01,1.09E+02,1.40E+02,2.27E+02,,9.60E-03,5.87E+02,1210,1300,1400,1380,629,1360
1.03E-02,2.14E+01,1.16E+02,1.47E+02,2.42E+02,,1.03E-02,4.87E+02,1050,1120,1200,1210,535,1170
1.10E-02,2.17E+01,1.20E+02,1.47E+02,2.36E+02,,1.10E-02,4.21E+02,894,962,1040,1050,451,988
1.17E-02,2.31E+01,1.21E+02,1.46E+02,2.22E+02,,1.17E-02,3.69E+02,790,856,926,926,391,854
1.24E-02,2.40E+01,1.18E+02,1.33E+02,1.94E+02,,1.24E-02,3.32E+02,705,766,821,813,337,725
1.30E-02,2.59E+01,1.10E+02,1.19E+02,1.60E+02,,1.30E-02,2.93E+02,631,683,718,713,292,611
1.37E-02,2.75E+01,1.01E+02,1.03E+02,1.25E+02,,1.37E-02,2.66E+02,570,607,631,624,255,531
1.44E-02,2.89E+01,8.73E+01,8.43E+01,9.46E+01,,1.44E-02,2.44E+02,500,534,545,540,219,447
1.51E-02,3.11E+01,7.39E+01,6.97E+01,7.12E+01,,1.51E-02,2.26E+02,454,470,474,471,193,396
1.58E-02,3.23E+01,6.03E+01,5.54E+01,5.27E+01,,1.58E-02,2.10E+02,399,412,405,407,168,342
1.65E-02,3.42E+01,4.96E+01,4.44E+01,4.01E+01,,1.65E-02,1.98E+02,360,362,360,363,151,309
1.72E-02,3.47E+01,3.92E+01,3.47E+01,3.13E+01,,1.72E-02,1.86E+02,317,320,317,321,133,275
1.79E-02,3.68E+01,3.15E+01,2.92E+01,2.54E+01,,1.79E-02,1.78E+02,289,285,286,292,122,253
1.85E-02,3.68E+01,2.46E+01,2.38E+01,2.19E+01,,1.85E-02,1.68E+02,260,258,259,265,110,231
1.92E-02,3.72E+01,2.09E+01,2.03E+01,2.08E+01,,1.92E-02,1.62E+02,238,232,236,245,102,216
1.99E-02,3.63E+01,1.71E+01,1.80E+01,1.99E+01,,1.99E-02,1.57E+02,217,215,218,226,93.3,200
2.06E-02,3.58E+01,1.51E+01,1.67E+01,2.05E+01,,2.06E-02,1.50E+02,202,200,205,214,88.3,191
2.13E-02,3.42E+01,1.37E+01,1.60E+01,2.03E+01,,2.13E-02,1.46E+02,187,186,193,200,81.9,179
2.20E-02,3.25E+01,1.30E+01,1.60E+01,2.19E+01,,2.20E-02,1.40E+02,177,177,184,192,78.3,172
2.27E-02,2.99E+01,1.22E+01,1.57E+01,2.21E+01,,2.27E-02,1.36E+02,167,168,175,183,74.1,163
2.34E-02,2.82E+01,1.22E+01,1.60E+01,2.26E+01,,2.34E-02,1.31E+02,159,163,169,175,70.6,155
2.41E-02,2.50E+01,1.20E+01,1.58E+01,2.23E+01,,2.41E-02,1.24E+02,152,155,162,169,67,148
2.47E-02,2.26E+01,1.20E+01,1.59E+01,2.20E+01,,2.47E-02,1.20E+02,146,151,156,163,64.9,141
2.54E-02,2.02E+01,1.20E+01,1.57E+01,2.13E+01,,2.54E-02,1.16E+02,141,146,151,157,61.6,135
2.61E-02,1.81E+01,1.16E+01,1.53E+01,1.98E+01,,2.61E-02,1.11E+02,136,142,146,150,59.1,129
2.68E-02,1.61E+01,1.16E+01,1.54E+01,1.92E+01,,2.68E-02,1.06E+02,134,140,143,146,57.2,125
2.75E-02,1.44E+01,1.14E+01,1.45E+01,1.81E+01,,2.75E-02,1.04E+02,130,137,139,143,55.4,120
2.82E-02,1.28E+01,1.09E+01,1.36E+01,1.65E+01,,2.82E-02,9.86E+01,126,133,133,137,53.3,115
2.89E-02,1.12E+01,1.04E+01,1.29E+01,1.51E+01,,2.89E-02,9.46E+01,122,129,129,131,51,110
2.96E-02,9.80E+00,9.90E+00,1.19E+01,1.34E+01,,2.96E-02,9.06E+01,118,125,124,126,48.4,106
3.02E-02,8.78E+00,9.32E+00,1.10E+01,1.22E+01,,3.02E-02,8.66E+01,114,120,120,120,46.7,101
3.09E-02,7.71E+00,8.56E+00,1.01E+01,1.09E+01,,3.09E-02,8.30E+01,109,114,114,115,44.4,96.2
3.16E-02,6.82E+00,7.87E+00,9.14E+00,9.69E+00,,3.16E-02,7.95E+01,105,111,110,109,42.4,91.9
3.23E-02,6.07E+00,7.43E+00,8.40E+00,8.76E+00,,3.23E-02,7.65E+01,99.5,107,105,105,40.5,87.5
3.30E-02,5.51E+00,6.66E+00,7.61E+00,8.01E+00,,3.30E-02,7.33E+01,94.9,102,99.2,99.6,38.1,84.1
3.37E-02,4.87E+00,6.14E+00,6.62E+00,7.32E+00,,3.37E-02,6.91E+01,90,95.4,94.5,94.1,36.3,79.5
3.44E-02,4.52E+00,5.56E+00,6.07E+00,6.62E+00,,3.44E-02,6.57E+01,84.3,91,89.2,89.3,33.9,74.9
3.51E-02,4.00E+00,4.99E+00,5.55E+00,6.21E+00,,3.51E-02,6.22E+01,78.8,85.7,83.5,83.1,32,70.8
3.57E-02,3.72E+00,4.50E+00,4.91E+00,5.90E+00,,3.57E-02,5.84E+01,73.3,80,78.5,77.9,29.9,65.9
3.64E-02,3.50E+00,4.13E+00,4.66E+00,5.54E+00,,3.64E-02,5.41E+01,67.7,74.8,73.5,72.4,27.9,61.4
3.71E-02,3.18E+00,3.73E+00,4.38E+00,5.33E+00,,3.71E-02,5.11E+01,63,69.7,68.4,67.5,25.8,57
3.78E-02,2.96E+00,3.49E+00,3.96E+00,4.94E+00,,3.78E-02,4.71E+01,58,64.7,62.9,62.4,24,52.9
3.85E-02,2.79E+00,3.24E+00,3.73E+00,4.73E+00,,3.85E-02,4.39E+01,52.9,59.5,58.3,57.4,22,48.8
3.92E-02,2.72E+00,2.87E+00,3.42E+00,4.53E+00,,3.92E-02,4.07E+01,48.9,54.7,53.6,53,20.4,45.1
3.99E-02,2.40E+00,2.87E+00,3.35E+00,4.35E+00,,3.99E-02,3.78E+01,44.6,50.4,49.3,48.7,18.6,41.1
4.06E-02,2.34E+00,2.60E+00,3.08E+00,4.08E+00,,4.06E-02,3.43E+01,40.9,45.7,45.5,44.9,17.1,37.9
4.13E-02,2.21E+00,2.37E+00,2.92E+00,3.82E+00,,4.13E-02,3.12E+01,37.4,42.5,41.2,40.5,15.5,34.3
4.19E-02,2.11E+00,2.37E+00,2.78E+00,3.66E+00,,4.19E-02,2.85E+01,34,38.6,38.1,37.2,14.3,31.5
4.26E-02,1.95E+00,2.24E+00,2.61E+00,3.32E+00,,4.26E-02,2.62E+01,31.3,35.6,34.9,34.4,13.2,29
4.33E-02,1.84E+00,2.09E+00,2.53E+00,3.18E+00,,4.33E-02,2.44E+01,29.1,33.2,32.1,31.6,12.3,26.7
4.40E-02,1.90E+00,2.05E+00,2.42E+00,3.01E+00,,4.40E-02,2.26E+01,26.9,30.6,30.2,29.4,11.3,24.9
4.47E-02,1.77E+00,1.94E+00,2.34E+00,2.84E+00,,4.47E-02,2.10E+01,25.2,28.8,28.2,27.8,10.6,23.5
4.54E-02,1.77E+00,1.88E+00,2.18E+00,2.61E+00,,4.54E-02,1.97E+01,23.8,27.2,26.4,25.9,10,21.7
4.61E-02,1.58E+00,1.78E+00,2.09E+00,2.48E+00,,4.61E-02,1.85E+01,22.3,25.5,24.5,24.3,9.43,20.8
