Strain (%),Stress (MPa),Time (sec)
0.0407,0.5316,
0.0704,0.5603,
0.1074,0.6034,
0.1407,0.6178,
0.1778,0.6609,
0.207,0.6897,
0.244,0.7184,
0.278,0.7471,
0.315,0.7759,
0.352,0.8046,
0.381,0.819,
0.422,0.8621,1
0.452,0.8908,1
0.493,0.9195,1
0.522,0.9483,1
0.559,0.977,1
0.593,0.9914,1
0.63,1.0201,1
0.659,1.0345,1
0.696,1.0632,1
0.733,1.092,1
0.767,1.1207,1
0.804,1.1494,1
0.833,1.1638,1
0.874,1.1925,1
0.904,1.2069,1
0.941,1.2356,1
0.974,1.2644,1
1.011,1.2931,1
1.041,1.3075,1
1.081,1.3362,1
1.111,1.3506,1
1.152,1.3793,2
1.185,1.408,2
1.219,1.4224,2
1.256,1.4511,2
1.285,1.4655,2
1.326,1.4943,2
1.356,1.5086,2
1.393,1.5374,2
1.422,1.5517,2
1.463,1.5805,2
1.493,1.5948,2
1.533,1.6236,2
1.563,1.6379,2
1.6,1.6667,2
1.63,1.681,2
1.67,1.6954,2
1.707,1.7241,2
1.737,1.7385,2
1.778,1.7672,2
1.807,1.7816,2
1.848,1.8103,2
1.874,1.8247,2
1.915,1.8391,3
1.944,1.8678,3
1.985,1.8822,3
2.01,1.8966,3
2.05,1.9253,3
2.09,1.9397,3
2.12,1.954,3
2.15,1.9684,3
2.19,1.9971,3
2.23,2.011,3
2.26,2.026,3
2.3,2.04,3
2.33,2.055,3
2.37,2.083,3
2.4,2.083,3
2.43,2.112,3
2.47,2.126,3
2.5,2.141,3
2.54,2.155,3
2.57,2.17,3
2.61,2.198,3
2.64,2.213,4
2.68,2.227,4
2.71,2.241,4
2.75,2.256,4
2.78,2.27,4
2.82,2.284,4
2.85,2.299,4
2.89,2.313,4
2.91,2.328,4
2.96,2.342,4
2.99,2.356,4
3.02,2.371,4
3.06,2.385,4
3.09,2.399,4
3.13,2.414,4
3.16,2.428,4
3.2,2.443,4
3.24,2.457,4
3.27,2.471,4
3.3,2.486,4
3.33,2.5,4
3.37,2.514,5
3.4,2.529,5
3.44,2.529,5
3.48,2.543,5
3.51,2.557,5
3.55,2.572,5
3.58,2.586,5
3.61,2.601,5
3.65,2.615,5
3.69,2.629,5
3.71,2.629,5
3.76,2.644,5
3.79,2.658,5
3.83,2.672,5
3.86,2.687,5
3.89,2.701,5
3.93,2.716,5
3.96,2.716,5
4,2.73,5
4.03,2.744,5
4.07,2.759,5
4.1,2.773,5
4.14,2.787,6
4.16,2.787,6
