Strain (%),Stress (MPa),Time (sec)
0.0485,0.551,
0.1092,0.6245,
0.1638,0.6796,
0.225,0.7347,
0.285,0.8082,
0.334,0.8449,
0.4,0.9184,
0.449,0.9551,
0.51,1.0102,
0.564,1.0653,
0.625,1.102,
0.674,1.1388,1
0.74,1.1939,1
0.789,1.249,1
0.85,1.3041,1
0.91,1.3408,1
0.959,1.3959,1
1.025,1.451,1
1.074,1.4878,1
1.135,1.5429,1
1.189,1.5796,1
1.25,1.6347,1
1.299,1.6898,1
1.365,1.7449,1
1.414,1.7816,1
1.481,1.8184,1
1.535,1.8735,1
1.59,1.9102,1
1.65,1.9653,1
1.699,2.002,1
1.76,2.039,1
1.814,2.076,1
1.875,2.131,2
1.924,2.167,2
1.99,2.204,2
2.04,2.241,2
2.11,2.296,2
2.15,2.333,2
2.21,2.388,2
2.28,2.425,2
2.32,2.461,2
2.39,2.498,2
2.44,2.535,2
2.51,2.571,2
2.55,2.608,2
2.62,2.645,2
2.66,2.682,2
2.73,2.718,2
2.79,2.755,2
2.84,2.792,2
2.9,2.847,2
2.95,2.865,2
3.02,2.902,2
3.06,2.939,2
3.13,2.976,3
3.17,2.994,3
3.24,3.031,3
3.29,3.067,3
3.36,3.104,3
3.4,3.141,3
3.46,3.178,3
3.53,3.214,3
3.57,3.233,3
3.64,3.269,3
3.69,3.288,3
3.76,3.325,3
3.8,3.343,3
3.87,3.38,3
3.92,3.416,3
3.98,3.453,3
4.04,3.49,3
4.09,3.508,3
4.16,3.545,3
4.21,3.563,3
4.27,3.6,3
4.31,3.618,4
4.38,3.655,4
4.43,3.672,4
4.49,3.71,4
4.55,3.729,4
4.6,3.765,4
4.67,3.784,4
4.71,3.802,4
4.78,3.839,4
4.82,3.857,4
4.89,3.876,4
4.94,3.912,4
5,3.931,4
5.07,3.949,4
5.12,3.986,4
5.18,4.004,4
5.22,4.022,4
5.29,4.041,4
5.34,4.059,4
5.41,4.096,4
5.46,4.114,4
5.52,4.133,5
5.57,4.169,5
5.63,4.188,5
5.68,4.206,5
5.75,4.225,5
5.79,4.243,5
5.86,4.261,5
5.9,4.28,5
5.97,4.298,5
6.03,4.335,5
6.08,4.335,5
6.14,4.371,5
6.2,4.371,5
6.26,4.408,5
6.3,4.427,5
