Strain (%),Stress (MPa),Time (sec)
0.0458,0.558,
0.1088,0.6267,
0.1604,0.6782,
0.218,0.7468,
0.263,0.7898,
0.326,0.8584,
0.372,0.9014,
0.435,0.9615,
0.481,1.0044,
0.544,1.0559,
0.596,1.116,
0.647,1.1503,1
0.704,1.2104,1
0.75,1.2533,1
0.808,1.3048,1
0.859,1.3392,1
0.916,1.3907,1
0.974,1.4422,1
1.019,1.4851,1
1.077,1.528,1
1.128,1.571,1
1.186,1.6139,1
1.237,1.6482,1
1.294,1.6997,1
1.34,1.7341,1
1.397,1.777,1
1.449,1.8113,1
1.506,1.8542,1
1.552,1.8886,1
1.615,1.9315,1
1.672,1.9744,1
1.718,2.009,1
1.775,2.043,2
1.827,2.077,2
1.884,2.12,2
1.93,2.146,2
1.993,2.189,2
2.04,2.223,2
2.1,2.258,2
2.16,2.301,2
2.21,2.326,2
2.26,2.369,2
2.31,2.395,2
2.37,2.429,2
2.42,2.464,2
2.47,2.498,2
2.52,2.524,2
2.58,2.558,2
2.63,2.584,2
2.69,2.618,2
2.73,2.644,2
2.79,2.678,2
2.85,2.713,2
2.9,2.747,2
2.96,2.773,3
3.01,2.799,3
3.07,2.833,3
3.11,2.859,3
3.17,2.893,3
3.22,2.919,3
3.28,2.944,3
3.34,2.979,3
3.38,3.005,3
3.44,3.039,3
3.49,3.065,3
3.55,3.09,3
3.6,3.116,3
3.66,3.15,3
3.7,3.168,3
3.76,3.202,3
3.81,3.219,3
3.87,3.253,3
3.93,3.279,3
3.97,3.314,3
4.04,3.339,3
4.08,3.365,4
4.14,3.391,4
4.19,3.417,4
4.25,3.442,4
4.3,3.468,4
4.35,3.502,4
4.4,3.52,4
4.46,3.545,4
4.52,3.571,4
4.56,3.597,4
4.62,3.623,4
4.67,3.648,4
4.73,3.674,4
4.78,3.691,4
4.84,3.717,4
4.89,3.743,4
4.94,3.769,4
4.99,3.786,4
5.05,3.811,4
5.1,3.829,4
5.16,3.863,4
5.22,3.889,5
5.26,3.914,5
5.32,3.932,5
5.37,3.949,5
5.42,3.975,5
5.48,3.992,5
5.53,4.018,5
5.58,4.043,5
5.64,4.06,5
5.7,4.086,5
5.75,4.103,5
5.81,4.129,5
5.85,4.146,5
5.91,4.172,5
5.96,4.189,5
6.02,4.206,5
6.07,4.224,5
6.13,4.249,5
6.17,4.258,5
6.23,4.284,5
6.28,4.301,5
6.34,4.318,5
6.39,4.335,6
6.45,4.352,6
6.51,4.378,6
6.55,4.387,6
6.61,4.404,6
6.66,4.421,6
6.72,4.447,6
6.76,4.464,6
6.83,4.481,6
6.88,4.498,6
6.93,4.515,6
6.99,4.524,6
7.03,4.541,6
7.1,4.558,6
7.14,4.574,6
7.2,4.584,6
7.25,4.601,6
7.31,4.618,6
7.35,4.627,6
7.42,4.644,6
7.46,4.653,6
7.52,4.67,7
7.57,4.679,7
7.63,4.696,7
7.69,4.713,7
7.73,4.721,7
7.79,4.739,7
7.84,4.747,7
7.9,4.764,7
7.94,4.773,7
8.01,4.79,7
8.06,4.799,7
8.1,4.807,7
8.17,4.824,7
8.21,4.833,7
8.28,4.85,7
8.32,4.859,7
8.38,4.867,7
8.43,4.876,7
8.49,4.893,7
8.53,4.902,7
8.6,4.91,7
8.64,4.919,8
8.7,4.936,8
8.75,4.945,8
8.81,4.953,8
8.87,4.97,8
8.91,4.979,8
8.97,4.988,8
9.02,4.996,8
9.08,5.013,8
9.13,5.022,8
9.19,5.03,8
9.24,5.039,8
9.29,5.048,8
9.35,5.065,8
9.39,5.073,8
9.46,5.082,8
9.5,5.091,8
9.56,5.099,8
9.61,5.108,8
9.67,5.116,8
9.71,5.125,8
9.78,5.133,8
9.82,5.142,9
9.89,5.151,9
9.93,5.159,9
9.99,5.168,9
10.05,5.176,9
10.1,5.185,9
10.15,5.194,9
10.2,5.202,9
10.26,5.211,9
10.31,5.219,9
10.37,5.228,9
10.42,5.237,9
