Strain (%),Stress (MPa),Time (sec)
0.0476,0.522,
0.107,0.5506,
0.1546,0.572,
0.22,0.6006,
0.268,0.6221,
0.333,0.6507,
0.375,0.6721,
0.44,0.6936,
0.488,0.715,
0.553,0.7436,
0.6,0.7651,
0.66,0.7937,1
0.713,0.8151,1
0.773,0.8366,1
0.832,0.8652,1
0.88,0.8866,1
0.945,0.9081,1
0.993,0.9295,1
1.058,0.9581,1
1.106,0.9724,1
1.165,1.001,1
1.219,1.0153,1
1.278,1.0439,1
1.326,1.0582,1
1.391,1.0868,1
1.439,1.1011,1
1.498,1.1226,1
1.546,1.144,1
1.611,1.1655,1
1.671,1.1869,1
1.718,1.2084,1
1.778,1.2298,1
1.831,1.2513,2
1.891,1.2727,2
1.938,1.287,2
2,1.3085,2
2.05,1.3299,2
2.12,1.3514,2
2.16,1.3728,2
2.22,1.3943,2
2.27,1.4086,2
2.34,1.43,2
2.4,1.4515,2
2.44,1.4658,2
2.5,1.4872,2
2.55,1.5015,2
2.62,1.523,2
2.66,1.5373,2
2.73,1.5587,2
2.78,1.573,2
2.84,1.5945,2
2.9,1.6159,2
2.95,1.6302,2
3.01,1.6445,2
3.06,1.6588,3
3.12,1.6803,3
3.16,1.6946,3
3.23,1.716,3
3.28,1.7303,3
3.34,1.7518,3
3.39,1.7589,3
3.45,1.7804,3
3.5,1.7947,3
3.56,1.8161,3
3.62,1.8376,3
3.67,1.8447,3
3.73,1.8662,3
3.79,1.8805,3
3.84,1.9019,3
3.9,1.9162,3
3.95,1.9305,3
4.01,1.9448,3
4.05,1.9591,3
4.12,1.9734,3
4.17,1.9877,3
4.23,2.009,4
4.28,2.023,4
4.34,2.038,4
4.39,2.052,4
4.45,2.066,4
4.5,2.081,4
4.57,2.095,4
4.63,2.116,4
4.67,2.124,4
4.73,2.138,4
4.78,2.152,4
4.85,2.166,4
4.89,2.181,4
4.96,2.195,4
5.01,2.202,4
5.07,2.224,4
5.12,2.231,4
5.18,2.245,4
5.23,2.259,4
5.29,2.274,4
5.35,2.288,4
5.4,2.302,5
5.46,2.317,5
5.51,2.324,5
5.57,2.338,5
5.62,2.352,5
5.68,2.367,5
5.73,2.381,5
5.79,2.388,5
5.84,2.402,5
5.9,2.41,5
5.95,2.424,5
6.02,2.438,5
6.06,2.445,5
6.13,2.46,5
6.18,2.474,5
6.24,2.481,5
6.3,2.495,5
6.34,2.51,5
6.4,2.517,5
6.45,2.531,5
6.52,2.538,5
6.58,2.553,5
6.62,2.56,6
6.69,2.574,6
6.74,2.588,6
6.8,2.595,6
6.84,2.603,6
6.91,2.617,6
6.96,2.624,6
7.02,2.638,6
7.07,2.653,6
7.13,2.66,6
7.18,2.674,6
7.24,2.681,6
7.29,2.688,6
7.35,2.696,6
7.41,2.71,6
7.46,2.724,6
7.53,2.738,6
7.57,2.746,6
7.63,2.753,6
7.68,2.76,6
7.75,2.774,6
7.81,2.789,7
7.85,2.796,7
7.91,2.803,7
7.96,2.81,7
8.03,2.824,7
8.07,2.831,7
8.13,2.839,7
8.18,2.846,7
8.24,2.86,7
8.29,2.86,7
8.35,2.874,7
8.41,2.881,7
8.47,2.889,7
8.51,2.896,7
8.58,2.91,7
8.64,2.917,7
8.69,2.924,7
8.75,2.932,7
8.8,2.939,7
8.86,2.946,7
8.91,2.953,7
8.97,2.96,8
9.03,2.967,8
9.08,2.974,8
9.14,2.982,8
9.19,2.989,8
9.25,3.003,8
9.3,3.003,8
9.36,3.017,8
9.41,3.024,8
9.47,3.032,8
9.52,3.039,8
9.58,3.046,8
9.63,3.053,8
9.69,3.06,8
9.74,3.067,8
9.8,3.075,8
9.86,3.089,8
9.92,3.089,8
9.98,3.103,8
10.02,3.103,8
10.08,3.11,8
10.14,3.117,8
10.2,3.132,9
10.26,3.139,9
10.3,3.139,9
10.36,3.146,9
10.41,3.153,9
10.48,3.16,9
10.52,3.167,9
10.59,3.175,9
10.64,3.182,9
10.7,3.189,9
10.74,3.196,9
10.81,3.203,9
10.86,3.21,9
10.92,3.218,9
10.97,3.225,9
11.03,3.232,9
11.08,3.239,9
11.14,3.246,9
11.2,3.246,9
11.25,3.253,9
11.31,3.26,9
11.36,3.268,10
11.43,3.275,10
11.48,3.282,10
11.53,3.289,10
11.59,3.289,10
11.64,3.296,10
11.7,3.303,10
11.75,3.31,10
11.81,3.318,10
11.86,3.318,10
11.93,3.325,10
11.97,3.332,10
12.03,3.339,10
12.08,3.346,10
12.15,3.353,10
12.19,3.353,10
12.25,3.361,10
12.32,3.368,10
12.37,3.375,10
12.43,3.382,10
12.47,3.389,10
12.54,3.389,11
12.59,3.396,11
12.65,3.403,11
12.71,3.411,11
12.76,3.411,11
12.82,3.418,11
12.87,3.425,11
12.93,3.432,11
12.97,3.439,11
13.04,3.439,11
13.09,3.446,11
13.15,3.453,11
13.2,3.453,11
13.26,3.461,11
13.31,3.468,11
13.37,3.468,11
13.42,3.475,11
13.48,3.482,11
13.54,3.482,11
13.59,3.489,11
13.65,3.496,11
13.7,3.496,11
13.76,3.504,12
13.81,3.504,12
13.88,3.511,12
13.94,3.518,12
13.98,3.525,12
14.04,3.525,12
14.09,3.532,12
14.16,3.539,12
14.2,3.539,12
14.26,3.546,12
14.31,3.546,12
14.38,3.554,12
14.42,3.561,12
14.48,3.568,12
14.54,3.568,12
14.6,3.575,12
14.66,3.575,12
14.7,3.582,12
14.76,3.589,12
14.82,3.589,12
14.88,3.596,12
14.93,3.604,13
14.99,3.604,13
15.04,3.611,13
15.1,3.611,13
15.16,3.618,13
15.21,3.618,13
15.27,3.625,13
15.32,3.632,13
15.38,3.639,13
15.43,3.639,13
15.49,3.654,13
15.54,3.654,13
15.6,3.661,13
15.65,3.661,13
15.71,3.668,13
15.76,3.668,13
15.83,3.675,13
15.88,3.675,13
15.93,3.682,13
15.99,3.689,13
16.04,3.697,13
16.11,3.697,14
16.15,3.704,14
16.22,3.704,14
16.26,3.711,14
16.33,3.718,14
16.39,3.718,14
16.43,3.718,14
16.5,3.725,14
16.55,3.725,14
16.61,3.732,14
16.65,3.732,14
16.72,3.739,14
16.77,3.739,14
16.83,3.747,14
16.87,3.747,14
16.94,3.754,14
16.99,3.754,14
17.05,3.761,14
17.1,3.761,14
17.16,3.768,14
17.22,3.768,14
17.27,3.775,14
17.33,3.775,15
17.38,3.782,15
17.44,3.782,15
17.49,3.79,15
17.55,3.79,15
17.61,3.79,15
17.66,3.797,15
17.72,3.804,15
17.77,3.804,15
17.84,3.811,15
17.88,3.811,15
17.94,3.811,15
17.99,3.818,15
18.06,3.825,15
18.1,3.825,15
18.16,3.825,15
18.22,3.832,15
18.28,3.832,15
18.32,3.84,15
18.39,3.84,15
18.44,3.84,15
18.5,3.847,16
18.56,3.847,16
18.61,3.854,16
18.67,3.854,16
18.72,3.854,16
18.78,3.861,16
18.84,3.861,16
18.89,3.868,16
18.95,3.875,16
19,3.875,16
19.05,3.882,16
19.11,3.882,16
19.17,3.89,16
19.22,3.89,16
19.28,3.89,16
19.33,3.897,16
19.39,3.897,16
19.44,3.897,16
19.5,3.904,16
19.55,3.904,16
19.61,3.904,16
19.66,3.911,17
19.73,3.918,17
19.79,3.918,17
19.83,3.918,17
19.9,3.925,17
19.94,3.925,17
20,3.933,17
20.1,3.933,17
20.1,3.94,17
20.2,3.94,17
20.2,3.94,17
20.3,3.947,17
20.3,3.947,17
20.4,3.947,17
20.4,3.954,17
20.5,3.954,17
20.6,3.954,17
20.6,3.961,17
20.7,3.961,17
20.7,3.961,17
20.8,3.968,17
20.8,3.968,17
20.9,3.968,18
20.9,3.975,18
21,3.975,18
21.1,3.975,18
21.1,3.983,18
21.2,3.983,18
21.2,3.99,18
21.3,3.99,18
21.3,3.99,18
21.4,3.997,18
21.4,3.997,18
21.5,3.997,18
21.6,4.004,18
21.6,4.004,18
21.7,4.011,18
21.7,4.011,18
21.8,4.011,18
21.8,4.011,18
21.9,4.018,18
22,4.018,18
22,4.018,18
22.1,4.018,19
22.1,4.025,19
22.2,4.025,19
22.2,4.025,19
22.3,4.033,19
22.3,4.033,19
22.4,4.033,19
22.5,4.04,19
22.5,4.04,19
22.6,4.047,19
22.6,4.047,19
22.7,4.047,19
22.7,4.054,19
22.8,4.054,19
22.8,4.061,19
22.9,4.061,19
23,4.061,19
23,4.061,19
23.1,4.068,19
23.1,4.068,19
23.2,4.068,19
23.2,4.068,20
