Strain (%),Stress (MPa),Time (sec)
0.0411,0.5143,
0.0856,0.5238,
0.1267,0.5333,
0.1712,0.5429,
0.212,0.5524,
0.257,0.5619,
0.298,0.5714,
0.342,0.581,
0.384,0.6,1
0.425,0.6,1
0.469,0.619,1
0.514,0.619,1
0.555,0.6381,1
0.596,0.6476,1
0.64,0.6571,1
0.685,0.6667,1
0.726,0.6667,1
0.771,0.6762,1
0.812,0.6857,1
0.853,0.6952,1
0.897,0.7143,1
0.938,0.7238,1
0.983,0.7333,1
1.027,0.7429,1
1.068,0.7524,2
1.11,0.7524,2
1.154,0.7524,2
1.199,0.7619,2
1.24,0.7714,2
1.281,0.781,2
1.325,0.7905,2
1.37,0.8,2
1.411,0.8,2
1.452,0.8095,2
1.497,0.8286,2
1.541,0.8381,2
1.582,0.8476,2
1.623,0.8476,2
1.668,0.8571,2
1.712,0.8667,2
1.753,0.8762,3
1.795,0.8857,3
1.839,0.8952,3
1.884,0.9048,3
1.925,0.9143,3
1.969,0.9238,3
2.01,0.9238,3
2.05,0.9333,3
2.1,0.9429,3
2.14,0.9524,3
2.18,0.9619,3
2.22,0.9714,3
2.27,0.981,3
2.31,0.981,3
2.35,0.9905,3
2.4,1,3
2.44,1.0095,4
2.48,1.019,4
2.52,1.0286,4
2.57,1.0286,4
2.61,1.0381,4
2.65,1.0476,4
2.7,1.0571,4
2.74,1.0667,4
2.78,1.0667,4
2.82,1.0762,4
2.87,1.0857,4
2.91,1.0952,4
2.95,1.0952,4
3,1.1048,4
3.04,1.1143,4
3.08,1.1238,4
3.12,1.1333,5
3.17,1.1429,5
3.21,1.1429,5
3.25,1.1524,5
3.29,1.1619,5
3.34,1.1714,5
3.38,1.1714,5
3.42,1.181,5
3.47,1.1905,5
3.51,1.1905,5
3.55,1.2,5
3.6,1.2095,5
3.64,1.219,5
3.68,1.2286,5
3.72,1.2286,5
3.77,1.2381,5
3.81,1.2476,6
3.85,1.2571,6
3.89,1.2571,6
3.93,1.2667,6
3.98,1.2762,6
4.02,1.2762,6
4.07,1.2762,6
4.11,1.2857,6
4.15,1.2952,6
4.2,1.3048,6
4.24,1.3143,6
4.28,1.3143,6
4.32,1.3333,6
4.37,1.3333,6
4.41,1.3333,6
4.45,1.3429,6
4.49,1.3524,7
4.54,1.3619,7
4.58,1.3619,7
4.62,1.3714,7
4.66,1.3714,7
4.71,1.381,7
4.74,1.3905,7
4.79,1.3905,7
4.84,1.4,7
4.89,1.4095,7
4.92,1.419,7
4.96,1.419,7
5,1.4286,7
5.05,1.4286,7
5.09,1.4381,7
5.13,1.4381,7
5.18,1.4476,8
5.22,1.4571,8
5.26,1.4571,8
5.31,1.4667,8
5.35,1.4667,8
5.39,1.4762,8
5.43,1.4857,8
5.48,1.4952,8
5.52,1.4952,8
5.57,1.5048,8
5.61,1.5048,8
5.65,1.5143,8
5.69,1.5143,8
5.73,1.5238,8
5.78,1.5238,8
5.82,1.5333,8
5.86,1.5333,9
5.91,1.5429,9
5.95,1.5429,9
5.99,1.5524,9
6.03,1.5619,9
6.08,1.5619,9
6.12,1.5714,9
6.16,1.5714,9
6.21,1.581,9
6.25,1.581,9
6.29,1.5905,9
6.34,1.5905,9
6.38,1.6,9
6.42,1.6095,9
6.46,1.6095,9
6.51,1.619,9
6.55,1.619,10
6.59,1.619,10
6.63,1.6286,10
6.68,1.6286,10
6.72,1.6381,10
6.76,1.6476,10
6.8,1.6571,10
6.85,1.6571,10
6.89,1.6667,10
6.93,1.6667,10
6.98,1.6667,10
7.02,1.6762,10
7.06,1.6762,10
7.11,1.6857,10
7.15,1.6857,10
7.19,1.6952,10
7.23,1.6952,11
7.27,1.7048,11
7.32,1.7048,11
7.36,1.7143,11
7.4,1.7143,11
7.45,1.7143,11
7.49,1.7238,11
7.53,1.7333,11
7.58,1.7333,11
7.62,1.7429,11
7.66,1.7429,11
7.71,1.7524,11
7.75,1.7524,11
7.79,1.7524,11
7.83,1.7619,11
7.87,1.7619,11
7.92,1.7714,12
7.96,1.7714,12
8,1.7714,12
8.05,1.781,12
8.09,1.781,12
8.13,1.7905,12
8.17,1.7905,12
8.22,1.8095,12
8.26,1.8095,12
8.3,1.8095,12
8.35,1.8095,12
8.39,1.819,12
8.43,1.819,12
8.47,1.8286,12
8.52,1.8286,12
8.57,1.8381,12
8.61,1.8381,13
8.65,1.8476,13
8.69,1.8476,13
8.73,1.8476,13
8.77,1.8571,13
8.82,1.8571,13
8.86,1.8667,13
8.9,1.8667,13
8.95,1.8762,13
8.99,1.8762,13
9.03,1.8857,13
9.08,1.8857,13
9.12,1.8857,13
9.16,1.8857,13
9.2,1.8952,13
9.25,1.9048,13
9.29,1.9048,14
9.33,1.9143,14
9.37,1.9143,14
9.42,1.9143,14
9.46,1.9143,14
9.5,1.9238,14
9.54,1.9238,14
9.59,1.9238,14
9.63,1.9333,14
9.67,1.9333,14
9.72,1.9429,14
9.76,1.9524,14
9.8,1.9524,14
9.85,1.9524,14
9.89,1.9619,14
9.93,1.9619,14
9.97,1.9714,15
10.02,1.9714,15
10.06,1.981,15
10.1,1.981,15
10.14,1.981,15
10.19,1.981,15
10.23,1.9905,15
10.27,1.9905,15
10.32,2,15
10.36,2,15
10.4,2,15
10.44,2.01,15
10.49,2.019,15
10.53,2.019,15
10.57,2.019,15
10.61,2.029,15
10.66,2.029,16
10.7,2.038,16
10.74,2.038,16
10.78,2.038,16
10.83,2.048,16
10.87,2.048,16
10.91,2.048,16
10.96,2.057,16
11,2.057,16
11.04,2.057,16
11.09,2.057,16
11.13,2.067,16
11.17,2.067,16
11.21,2.076,16
11.26,2.076,16
11.3,2.076,16
11.34,2.086,17
11.39,2.086,17
11.43,2.086,17
11.47,2.095,17
11.51,2.095,17
11.56,2.095,17
11.6,2.105,17
11.64,2.105,17
11.68,2.105,17
11.73,2.105,17
11.77,2.105,17
11.82,2.114,17
11.86,2.114,17
11.9,2.124,17
11.94,2.124,17
11.98,2.133,17
12.03,2.133,18
12.07,2.133,18
12.11,2.133,18
12.15,2.143,18
12.2,2.143,18
12.24,2.152,18
12.28,2.152,18
12.33,2.152,18
12.37,2.152,18
12.41,2.162,18
12.46,2.162,18
12.5,2.171,18
12.54,2.171,18
12.58,2.171,18
12.63,2.171,18
12.67,2.181,18
12.71,2.181,19
12.76,2.181,19
12.8,2.19,19
12.84,2.19,19
12.88,2.19,19
12.93,2.19,19
12.97,2.2,19
13.01,2.2,19
13.05,2.2,19
13.1,2.21,19
13.14,2.21,19
13.18,2.219,19
13.23,2.219,19
13.27,2.219,19
13.31,2.219,19
13.36,2.219,19
13.4,2.229,20
13.44,2.229,20
13.48,2.229,20
13.53,2.238,20
13.57,2.238,20
13.61,2.238,20
13.65,2.248,20
13.7,2.248,20
13.74,2.248,20
13.78,2.248,20
13.83,2.257,20
13.87,2.257,20
13.91,2.257,20
13.95,2.257,20
14,2.257,20
14.04,2.267,20
14.08,2.267,21
14.12,2.276,21
14.17,2.276,21
14.21,2.276,21
14.25,2.286,21
14.29,2.286,21
14.34,2.286,21
14.38,2.286,21
14.42,2.286,21
14.47,2.295,21
14.51,2.295,21
14.55,2.305,21
14.6,2.305,21
14.64,2.305,21
14.68,2.305,21
14.73,2.305,21
14.77,2.314,22
14.81,2.314,22
14.85,2.314,22
14.9,2.314,22
14.94,2.314,22
14.98,2.324,22
15.02,2.324,22
15.07,2.333,22
15.11,2.333,22
15.15,2.333,22
15.2,2.333,22
15.24,2.343,22
15.28,2.343,22
15.32,2.343,22
15.37,2.343,22
15.41,2.343,22
15.45,2.352,23
15.49,2.352,23
15.54,2.362,23
15.58,2.362,23
15.62,2.362,23
15.66,2.362,23
15.71,2.371,23
15.75,2.371,23
