Strain (%),Stress (MPa),Time (sec)
0.0239,0.5015,
0.0558,0.5093,
0.0757,0.517,
0.0996,0.5247,
0.1275,0.5247,
0.1514,0.5324,
0.1753,0.5401,
0.1992,0.5401,
0.223,0.5478,1
0.251,0.5556,1
0.275,0.5633,1
0.299,0.5633,1
0.327,0.571,1
0.351,0.5787,1
0.375,0.5787,1
0.398,0.5787,1
0.422,0.5864,1
0.45,0.5941,1
0.478,0.5941,1
0.502,0.6019,1
0.526,0.6096,1
0.55,0.6173,1
0.574,0.6173,1
0.598,0.625,1
0.622,0.625,2
0.649,0.6327,2
0.673,0.6404,2
0.697,0.6481,2
0.725,0.6481,2
0.749,0.6559,2
0.773,0.6636,2
0.797,0.6636,2
0.821,0.6713,2
0.849,0.679,2
0.873,0.6867,2
0.9,0.6944,2
0.92,0.6944,2
0.948,0.7022,2
0.972,0.7099,2
0.996,0.7176,2
1.024,0.7176,3
1.048,0.7253,3
1.072,0.733,3
1.096,0.7407,3
1.12,0.7407,3
1.143,0.7485,3
1.171,0.7562,3
1.195,0.7562,3
1.219,0.7639,3
1.243,0.7639,3
1.271,0.7716,3
1.295,0.7793,3
1.319,0.787,3
1.343,0.787,3
1.371,0.7948,3
1.394,0.7948,3
1.418,0.8025,4
1.446,0.8102,4
1.47,0.8102,4
1.494,0.8179,4
1.518,0.8256,4
1.546,0.8333,4
1.57,0.8333,4
1.594,0.841,4
1.618,0.8488,4
1.645,0.8488,4
1.669,0.8565,4
1.693,0.8642,4
1.717,0.8719,4
1.745,0.8719,4
1.769,0.8796,4
1.793,0.8796,4
1.817,0.8873,5
1.845,0.8951,5
1.869,0.9028,5
1.892,0.9028,5
1.916,0.9105,5
1.944,0.9182,5
1.968,0.9182,5
1.992,0.9259,5
2.02,0.9259,5
2.04,0.9336,5
2.07,0.9414,5
2.09,0.9491,5
2.12,0.9491,5
2.14,0.9568,5
2.17,0.9568,5
2.19,0.9645,5
2.22,0.9645,6
2.24,0.9722,6
2.27,0.9799,6
2.29,0.9877,6
2.31,0.9954,6
2.34,0.9954,6
2.37,1.0031,6
2.39,1.0031,6
2.41,1.0108,6
2.44,1.0185,6
2.47,1.0185,6
2.49,1.0262,6
2.51,1.0262,6
2.54,1.034,6
2.57,1.0417,6
2.59,1.0494,6
2.61,1.0494,7
2.64,1.0571,7
2.67,1.0571,7
2.69,1.0648,7
2.71,1.0725,7
2.74,1.0802,7
2.76,1.0802,7
2.79,1.088,7
2.81,1.088,7
2.84,1.0957,7
2.86,1.1034,7
2.89,1.1111,7
2.91,1.1111,7
2.94,1.1188,7
2.96,1.1188,7
2.99,1.1265,7
3.02,1.1343,8
3.04,1.1343,8
3.06,1.142,8
3.09,1.142,8
3.11,1.1497,8
3.14,1.1497,8
3.16,1.1574,8
3.19,1.1574,8
3.22,1.1728,8
3.24,1.1806,8
3.26,1.1806,8
3.29,1.1806,8
3.31,1.1883,8
3.34,1.196,8
3.36,1.196,8
3.39,1.2037,8
3.41,1.2114,9
3.44,1.2114,9
3.46,1.2191,9
3.49,1.2191,9
3.51,1.2191,9
3.54,1.2269,9
3.56,1.2346,9
3.59,1.2346,9
3.61,1.2423,9
3.63,1.2423,9
3.66,1.25,9
3.69,1.2577,9
3.71,1.2577,9
3.74,1.2654,9
3.76,1.2654,9
3.78,1.2731,9
3.81,1.2731,10
3.83,1.2809,10
3.86,1.2809,10
3.88,1.2886,10
3.91,1.2963,10
3.94,1.2963,10
3.96,1.304,10
3.98,1.3117,10
4.01,1.3194,10
4.04,1.3194,10
4.06,1.3272,10
4.08,1.3272,10
4.11,1.3272,10
4.14,1.3349,10
4.16,1.3426,10
4.18,1.3426,10
4.21,1.3503,11
4.23,1.3503,11
4.26,1.358,11
4.28,1.3657,11
4.31,1.3657,11
4.33,1.3735,11
4.36,1.3735,11
4.38,1.3812,11
4.41,1.3889,11
4.43,1.3889,11
4.46,1.3966,11
4.48,1.3966,11
4.51,1.3966,11
4.53,1.4043,11
4.56,1.412,11
4.58,1.412,11
4.61,1.412,12
4.63,1.4198,12
4.66,1.4275,12
4.68,1.4275,12
4.71,1.4352,12
4.73,1.4429,12
4.76,1.4506,12
4.78,1.4506,12
4.8,1.4583,12
4.83,1.4583,12
4.86,1.466,12
4.88,1.466,12
4.9,1.4738,12
4.93,1.4738,12
4.96,1.4815,12
4.98,1.4815,12
5,1.4892,13
5.03,1.4969,13
5.06,1.4969,13
5.08,1.4969,13
5.1,1.5046,13
5.13,1.5046,13
5.16,1.5123,13
5.18,1.5123,13
5.2,1.5123,13
5.23,1.5201,13
5.25,1.5278,13
5.28,1.5278,13
5.3,1.5355,13
5.33,1.5432,13
5.35,1.5432,13
5.38,1.5432,13
5.4,1.5509,14
5.43,1.5586,14
5.45,1.5586,14
5.48,1.5664,14
5.5,1.5741,14
5.53,1.5741,14
5.55,1.5741,14
5.58,1.5818,14
5.6,1.5818,14
5.63,1.5895,14
5.65,1.5972,14
5.68,1.5972,14
5.7,1.6049,14
5.73,1.6127,14
5.75,1.6127,14
5.78,1.6204,14
5.8,1.6204,15
5.83,1.6281,15
5.85,1.6281,15
5.88,1.6281,15
5.9,1.6358,15
5.93,1.6358,15
5.95,1.6435,15
5.98,1.6435,15
6,1.6512,15
6.03,1.6512,15
6.05,1.659,15
6.08,1.6667,15
6.1,1.6667,15
6.13,1.6744,15
6.15,1.6744,15
6.18,1.6821,15
6.2,1.6821,16
6.23,1.6898,16
6.25,1.6975,16
6.27,1.6975,16
6.3,1.6975,16
6.33,1.6975,16
6.35,1.7052,16
6.37,1.7052,16
6.4,1.7052,16
6.43,1.713,16
6.45,1.7207,16
6.47,1.7207,16
6.5,1.7284,16
6.53,1.7361,16
6.55,1.7361,16
6.57,1.7361,16
6.6,1.7361,17
6.63,1.7438,17
6.65,1.7438,17
6.67,1.7515,17
6.7,1.7515,17
6.73,1.7593,17
6.75,1.767,17
6.77,1.767,17
6.8,1.767,17
6.82,1.7747,17
6.85,1.7747,17
6.87,1.7824,17
6.9,1.7824,17
6.92,1.7824,17
6.95,1.7901,17
6.97,1.7901,17
7,1.7978,18
7.02,1.8056,18
7.05,1.8133,18
7.07,1.8133,18
7.1,1.8133,18
7.12,1.8133,18
7.15,1.821,18
7.17,1.8287,18
7.2,1.8287,18
7.22,1.8364,18
7.25,1.8364,18
7.27,1.8364,18
7.3,1.8441,18
7.32,1.8441,18
7.35,1.8519,18
7.37,1.8519,18
7.39,1.8596,19
7.42,1.8596,19
7.45,1.8596,19
7.47,1.8673,19
7.49,1.8673,19
7.52,1.8673,19
7.55,1.875,19
7.57,1.8827,19
7.59,1.8827,19
7.62,1.8904,19
7.65,1.8904,19
7.67,1.8904,19
7.7,1.8981,19
7.72,1.8981,19
7.75,1.9059,19
7.77,1.9059,19
7.79,1.9136,20
7.82,1.9136,20
7.84,1.9213,20
7.87,1.9213,20
7.89,1.929,20
7.92,1.929,20
7.94,1.929,20
7.97,1.9367,20
7.99,1.9367,20
8.02,1.9444,20
8.04,1.9444,20
8.07,1.9522,20
8.09,1.9522,20
8.12,1.9522,20
8.14,1.9599,20
8.17,1.9676,20
8.19,1.9676,21
8.22,1.9676,21
8.24,1.9753,21
8.27,1.9753,21
8.29,1.9753,21
8.32,1.983,21
8.34,1.983,21
8.37,1.9907,21
8.39,1.9907,21
8.42,1.9907,21
8.44,1.9985,21
8.47,2.006,21
8.49,2.006,21
8.52,2.014,21
8.54,2.014,21
8.57,2.014,21
8.59,2.022,22
8.61,2.022,22
8.64,2.029,22
8.67,2.029,22
8.69,2.029,22
8.72,2.037,22
8.74,2.037,22
8.76,2.045,22
8.79,2.045,22
8.82,2.052,22
8.84,2.052,22
8.86,2.052,22
8.89,2.06,22
8.92,2.06,22
8.94,2.06,22
8.96,2.068,22
8.99,2.068,23
9.02,2.076,23
9.04,2.076,23
9.06,2.083,23
9.09,2.083,23
9.12,2.083,23
9.14,2.091,23
9.16,2.099,23
9.19,2.099,23
9.22,2.106,23
9.24,2.106,23
9.26,2.106,23
9.29,2.106,23
9.31,2.114,23
9.34,2.114,23
9.36,2.122,23
9.39,2.122,24
9.41,2.122,24
9.44,2.13,24
9.46,2.13,24
9.49,2.13,24
9.51,2.137,24
9.54,2.145,24
9.56,2.145,24
9.59,2.145,24
9.61,2.153,24
9.64,2.16,24
9.66,2.16,24
9.69,2.16,24
9.71,2.16,24
9.74,2.16,24
9.76,2.168,24
9.78,2.168,25
9.81,2.176,25
9.84,2.176,25
9.86,2.176,25
9.88,2.184,25
9.91,2.184,25
9.94,2.184,25
9.96,2.191,25
9.98,2.191,25
10.01,2.191,25
10.04,2.199,25
10.06,2.199,25
10.08,2.207,25
10.11,2.207,25
10.14,2.207,25
10.16,2.215,25
10.18,2.215,26
10.21,2.215,26
10.24,2.222,26
10.26,2.222,26
10.28,2.23,26
10.31,2.23,26
10.33,2.23,26
10.36,2.238,26
10.39,2.238,26
10.41,2.238,26
10.43,2.238,26
10.46,2.245,26
10.49,2.253,26
10.51,2.253,26
10.53,2.253,26
10.56,2.261,26
10.58,2.261,27
10.61,2.261,27
10.64,2.269,27
10.66,2.269,27
10.68,2.269,27
10.71,2.269,27
10.73,2.276,27
10.76,2.276,27
10.78,2.276,27
10.8,2.284,27
10.83,2.284,27
10.86,2.292,27
10.88,2.292,27
10.91,2.299,27
10.93,2.299,27
10.96,2.299,27
10.98,2.307,28
11.01,2.307,28
11.03,2.307,28
11.06,2.315,28
11.08,2.315,28
11.11,2.315,28
11.13,2.323,28
11.16,2.323,28
11.18,2.323,28
11.21,2.33,28
11.23,2.33,28
11.25,2.33,28
11.28,2.338,28
11.31,2.338,28
11.33,2.338,28
11.35,2.346,28
11.38,2.346,29
11.41,2.346,29
11.43,2.353,29
11.45,2.353,29
11.48,2.361,29
11.51,2.361,29
11.53,2.361,29
11.55,2.369,29
11.58,2.369,29
11.61,2.369,29
11.63,2.369,29
11.65,2.377,29
11.68,2.377,29
11.7,2.377,29
11.73,2.384,29
11.75,2.384,29
11.78,2.384,30
11.8,2.384,30
11.83,2.392,30
11.85,2.392,30
11.88,2.4,30
11.9,2.4,30
11.93,2.4,30
11.95,2.4,30
11.98,2.407,30
12,2.407,30
12.03,2.415,30
12.05,2.415,30
12.08,2.415,30
12.1,2.423,30
12.13,2.423,30
12.15,2.423,30
12.18,2.431,31
12.2,2.431,31
12.23,2.431,31
12.25,2.431,31
12.27,2.431,31
12.3,2.438,31
12.33,2.438,31
12.35,2.446,31
12.37,2.446,31
12.4,2.454,31
12.43,2.454,31
12.45,2.454,31
12.47,2.454,31
12.5,2.454,31
12.53,2.461,31
12.55,2.461,31
12.58,2.469,32
12.6,2.469,32
12.63,2.477,32
12.65,2.477,32
12.67,2.477,32
12.7,2.477,32
12.73,2.477,32
12.75,2.485,32
12.78,2.485,32
12.8,2.485,32
12.82,2.492,32
12.85,2.492,32
